time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,16,7,0,0
2026-05-17 00:00:00+00:00,32,11,0,0
2026-05-18 00:00:00+00:00,7,3,0,0
2026-05-19 00:00:00+00:00,20,6,0,0
2026-05-20 00:00:00+00:00,1,1,0,0
2026-05-21 00:00:00+00:00,20,6,0,0
2026-05-22 00:00:00+00:00,13,4,0,0
2026-05-23 00:00:00+00:00,15,6,0,0
2026-05-24 00:00:00+00:00,21,10,0,0
2026-05-25 00:00:00+00:00,13,4,0,0
2026-05-26 00:00:00+00:00,16,5,0,0
2026-05-27 00:00:00+00:00,9,4,0,0
2026-05-28 00:00:00+00:00,13,4,0,0
2026-05-29 00:00:00+00:00,8,4,0,0
